"sku","national_inv","lead_time","in_transit_qty","forecast_3_month","forecast_6_month","forecast_9_month","sales_1_month","sales_3_month","sales_6_month","sales_9_month","min_bank","potential_issue","pieces_past_due","perf_6_month_avg","perf_12_month_avg","local_bo_qty","deck_risk","oe_constraint","ppap_risk","stop_auto_buy","rev_stop","went_on_backorder"
135,5,8,0,0,0,0,0,0,0,0,0,0,0,0.96,0.91,0,0,0,0,1,0,0
136,5,9,0,2,2,2,3,5,6,9,0,0,0,0.99,0.98,0,0,0,0,1,0,0
137,11,8,0,0,5,10,1,7,14,21,0,0,0,0.78,0.74,0,0,0,0,1,0,0
138,20,2,0,45,99,153,16,42,80,111,10,0,0,0.81,0.88,0,0,0,0,1,0,1
139,11,8,0,0,0,0,0,0,0,0,0,0,0,0.08,0.26,0,1,0,0,1,0,0
140,2,4,4,0,0,0,0,2,2,2,1,0,0,0.24,0.14,0,1,0,0,1,0,1
141,1,2,0,20,20,30,5,15,27,37,0,0,0,0.96,0.94,0,0,0,0,1,0,1
143,13103,8,11,0,0,0,47,140,276,467,35,0,0,0.81,0.8,0,0,0,0,1,0,0
144,0,8,0,3,4,5,0,1,3,4,0,0,0,0.17,0.33,0,0,0,0,1,0,1
145,22,8,0,18,54,90,7,20,43,86,0,0,0,0.77,0.82,0,0,0,0,1,0,0
146,116,2,116,192,336,504,70,267,494,719,53,0,0,0.77,0.88,0,0,0,0,1,0,0
147,2,8,0,1,3,4,1,1,4,6,2,0,0,0.17,0.33,0,0,0,0,1,0,1
148,22,8,0,140,220,280,28,89,172,259,56,0,0,0.61,0.57,0,0,0,1,1,0,1
150,7,4,0,0,0,0,0,0,0,0,0,0,0,0.22,0.15,0,1,0,0,1,0,0
152,6,8,0,0,0,0,0,0,1,1,0,0,0,0.99,0.99,0,0,0,0,1,0,0
155,3,2,0,33,33,33,0,0,0,0,0,0,0,0.9,0.95,0,1,0,0,1,0,0
156,0,2,0,85,85,85,0,0,1,1,1,0,0,0.76,0.53,0,0,0,0,1,0,1
157,10,2,0,0,0,0,0,0,1,2,0,0,0,0.1,0.13,0,0,0,0,1,0,0
160,6,2,0,10,10,20,6,11,22,32,0,0,0,0.48,0.57,0,0,0,0,1,0,1
161,0,8,0,3,3,4,0,3,5,5,0,0,0,0.85,0.64,0,0,0,0,1,0,1
162,24,8,0,0,0,0,0,0,0,1,0,0,0,0.8,0.86,0,0,0,1,1,0,0
163,10,12,0,0,0,0,0,0,1,3,0,0,0,0.69,0.69,0,0,0,0,1,0,0
164,42,12,0,36,72,72,49,55,57,109,0,0,0,0.63,0.72,0,0,0,0,1,0,1
167,13,2,0,8,8,8,0,0,0,0,0,0,0,0.51,0.47,0,1,0,0,1,0,0
168,5,8,0,0,2,4,1,1,4,7,0,0,0,0.84,0.82,0,0,0,0,1,0,0
169,3,2,0,0,0,0,0,0,0,0,0,0,0,0.76,0.78,0,1,0,0,1,0,0
170,-7,12,0,10,10,11,21,21,23,24,0,0,0,0.78,0.78,7,0,0,1,1,0,1
172,84,8,0,0,0,0,1,5,10,10,0,0,0,0.92,0.66,0,0,0,0,1,0,0
173,94,12,0,48,112,112,8,44,134,207,40,0,0,0.98,0.95,0,0,0,0,1,0,0
174,0,8,0,24,24,24,3,12,20,28,0,0,0,1,0.97,0,0,0,0,1,0,1
181,120,8,0,0,0,0,0,0,0,0,0,0,0,0.8,0.84,0,0,0,0,1,0,0
182,0,2,0,6,6,6,0,0,0,0,0,0,0,0.7,0.73,0,1,0,1,1,0,1
183,11,12,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,0,0,0,1,0,0
186,28,8,15,107,203,263,68,133,213,281,16,0,0,0.98,0.98,0,0,0,0,1,0,0
187,113,2,99,162,297,432,72,195,336,431,63,0,0,0.71,0.8,0,0,0,0,1,0,0
188,10,8,0,0,4,5,2,6,16,26,0,0,0,0.68,0.49,0,0,0,0,1,0,0
189,80,2,0,0,0,0,1,6,25,25,1,0,0,0.98,0.99,0,0,0,0,1,0,0
191,7,2,2,0,0,4,0,1,10,18,1,0,0,0.97,0.98,0,0,0,0,1,0,0
193,-3,8,0,12,14,20,0,8,17,20,1,0,0,0.86,0.88,3,0,0,0,1,0,1
194,0,2,0,820,1360,1840,0,0,0,0,113,0,0,0.88,0.94,57,0,0,0,1,0,1
195,89,8,27,54,144,216,34,81,163,263,33,0,0,0.99,0.99,3,0,0,0,1,0,0
197,0,2,0,17,77,77,0,0,0,0,0,0,0,0.99,0.99,0,1,0,0,1,0,0
199,4,12,0,0,0,0,1,1,1,4,0,0,0,0.63,0.72,0,0,0,0,1,0,0
201,1656,2,0,0,0,373,44,99,894,2497,46,0,0,0.67,0.79,0,0,0,0,1,0,0
203,12,8,0,0,0,0,0,0,1,4,1,0,0,0.97,0.97,0,0,0,0,1,0,0
205,3,2,0,16,16,16,10,24,27,27,0,0,0,0.24,0.28,0,1,0,0,1,0,1
207,0,2,0,11,11,11,0,0,0,0,0,0,0,0,0.05,0,1,0,0,1,0,0
208,9,4,0,0,0,0,4,12,19,29,0,0,0,0.73,0.78,0,0,0,0,1,0,0
210,0,14,0,12,19,26,6,9,15,20,1,0,0,0.99,0.88,0,0,0,0,1,0,1
211,316,8,0,1137,2377,3417,0,0,0,0,0,0,0,0.95,0.77,0,0,0,0,1,0,0
212,61,8,0,0,0,0,0,0,0,6,1,0,0,0.64,0.83,0,1,0,0,1,0,0
214,52,2,0,0,0,0,3,5,9,10,1,0,0,0.97,0.98,0,1,0,0,1,0,0
215,1,8,0,0,0,0,0,0,0,0,1,0,0,0.54,0.71,0,0,0,1,1,0,0
217,10,2,0,9,20,32,2,6,14,14,0,0,0,0.83,0.8,0,0,0,0,1,0,0
218,160,12,0,0,0,279,18,58,152,194,5,0,0,0.93,0.88,0,0,0,1,1,0,0
221,8,2,0,0,0,0,0,0,1,1,0,0,0,0.81,0.83,0,0,0,0,1,0,0
222,29,8,0,12,22,37,11,24,44,62,6,0,12,0.94,0.92,0,0,0,0,1,0,0
223,2,8,0,0,0,0,0,0,0,0,1,0,0,0.97,0.94,0,0,0,1,1,0,0
224,387,8,0,446,806,1106,92,357,770,1212,84,0,0,0.51,0.45,0,0,0,1,1,0,0
225,6,2,0,0,0,0,0,1,1,1,0,0,0,1,0.97,0,1,0,0,1,0,0
226,394,2,16,0,0,0,14,69,141,198,134,0,0,0.97,0.96,0,0,0,0,1,0,0
228,9,2,0,3,6,9,0,4,12,16,0,0,0,0.87,0.76,0,0,0,0,1,0,0
230,136,2,43,249,489,699,90,252,455,621,68,0,0,0.76,0.77,0,0,0,0,1,0,0
234,9,12,0,0,0,0,0,0,2,7,2,0,0,0.73,0.79,0,0,0,0,1,0,0
235,1,8,0,0,0,0,0,0,0,3,1,0,0,0.46,0.45,0,1,0,0,1,0,0
237,57,8,0,0,0,0,3,9,19,27,3,0,0,1,1,0,0,0,0,1,0,0
238,1927,8,0,1115,2230,3345,266,1158,2764,3994,493,0,0,0.62,0.56,0,0,0,0,1,0,0
239,2,4,0,0,0,0,0,0,0,0,0,0,0,0.73,0.78,0,0,0,0,1,0,0
240,3,2,0,100,100,100,1,1,1,1,1,0,0,0.99,0.98,0,1,0,0,1,0,0
241,17,12,0,0,0,0,1,1,10,17,1,0,0,0.89,0.89,0,1,0,0,1,0,0
243,3,12,0,0,0,0,0,0,0,0,0,0,0,0.78,0.78,0,0,0,0,1,0,0
244,4,12,0,0,0,0,1,2,4,7,1,0,0,0.78,0.78,0,1,0,0,1,0,0
246,91,8,0,0,0,0,0,0,0,0,0,0,0,0.99,0.96,0,0,0,0,1,0,0
247,2,2,3,0,3,3,0,0,0,0,0,0,0,0.99,0.99,0,1,0,0,1,0,0
248,7,2,0,12,24,48,4,14,25,29,0,0,0,0.89,0.91,0,0,0,0,1,0,1
249,10,12,0,0,0,0,0,0,0,0,1,0,0,0.58,0.58,0,1,0,0,1,0,0
250,3,9,0,12,17,27,0,6,14,18,0,0,0,0.91,0.77,0,0,0,0,1,0,0
252,4,12,0,0,0,0,0,0,0,0,0,0,0,0.99,0.98,0,0,0,0,1,0,0
253,180,2,0,0,0,0,1,2,3,3,2,0,0,0.9,0.92,0,0,0,0,1,0,0
256,109,8,0,0,0,0,4,14,28,41,0,0,0,0.84,0.86,0,0,0,0,1,0,0
257,7,12,7,166,271,347,82,243,340,497,32,0,7,0.77,0.78,0,0,0,1,1,0,1
258,22,9,0,0,0,0,1,2,2,3,0,0,0,0.85,0.83,0,0,0,0,1,0,0
259,2,12,0,0,0,0,0,0,0,0,0,0,0,0.57,0.7,0,0,0,0,1,0,0
261,4,9,0,0,0,0,0,0,0,0,0,0,0,0.87,0.72,0,0,0,0,1,0,0
262,92,8,0,0,52,160,0,0,0,0,0,0,0,0.26,0.37,0,0,0,0,1,0,0
263,1,8,0,0,1,1,0,0,1,1,1,0,0,0.79,0.78,0,0,0,0,1,0,1
264,5,8,0,27,45,63,4,19,23,28,3,0,0,0.54,0.61,0,0,0,0,1,0,1
266,3,9,0,0,0,0,0,0,0,0,0,0,0,0.68,0.66,0,0,0,0,1,0,0
267,2,8,0,1,2,3,0,3,3,3,1,0,0,0.93,0.95,0,0,0,0,1,0,0
271,33,2,0,40,80,100,13,36,54,80,16,0,0,1,1,0,0,0,0,1,0,0
272,18,8,0,26,61,106,6,34,74,97,6,0,14,0.51,0.53,0,0,0,0,1,0,0
273,3,4,0,0,0,0,0,0,0,1,0,0,0,0.73,0.78,0,0,0,0,1,0,0
275,12,8,2,0,0,0,4,5,14,22,0,0,0,0.82,0.81,0,0,0,0,1,0,0
276,5,8,0,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,1,0,0
277,10,4,0,0,3,6,1,1,7,11,0,0,0,0.73,0.78,0,0,0,0,1,0,0
278,0,2,0,5,5,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
279,3,12,0,0,0,0,0,0,0,0,0,0,0,0.57,0.68,0,0,0,0,1,0,0
281,7,2,0,0,0,5,1,2,2,2,0,0,0,0.99,0.98,0,0,0,0,1,0,0
282,5,8,0,8,8,13,1,7,13,21,2,0,0,0.55,0.81,0,0,0,0,1,0,1
283,-6,12,2,34,61,77,9,24,59,95,8,0,0,0.82,0.78,6,0,0,0,1,0,1
284,193,2,81,162,324,648,41,223,630,1453,0,0,0,0.69,0.67,0,0,0,0,1,0,0
285,57,2,13,112,213,294,44,126,261,336,115,0,1,0.87,0.66,1,0,0,0,1,0,0
286,8,12,0,0,0,0,0,0,1,5,0,0,0,0.73,0.79,0,0,0,0,1,0,0
287,15,4,0,8,24,24,3,11,14,22,0,0,0,0.73,0.78,0,0,0,0,1,0,0
288,1,8,0,7,7,9,1,5,13,20,0,0,0,1,0.95,0,0,0,0,1,0,0
289,3,2,0,2,3,3,0,0,0,0,0,0,0,0.74,0.82,0,1,0,0,1,0,0
290,1,8,1,57,57,57,2,2,7,7,2,0,0,0.51,0.53,0,1,0,0,1,0,1
292,31,9,0,0,0,0,3,3,5,5,0,0,0,0.85,0.82,0,0,0,0,1,0,0
293,12,8,0,0,0,0,4,8,17,25,0,0,0,0.46,0.35,0,1,0,0,1,0,0
294,10,12,0,0,0,0,0,0,0,0,0,0,0,0.74,0.74,0,0,0,0,1,0,0
295,12,8,10,20,50,80,7,30,57,69,7,0,0,0.7,0.84,0,0,0,0,1,0,1
296,85,2,0,0,36,72,4,35,75,86,0,0,0,0.61,0.37,0,0,0,0,1,0,0
297,0,12,0,59,59,59,17,41,63,80,0,0,0,0.94,0.87,0,0,0,0,1,0,1
298,3,2,2,2,4,4,0,0,0,0,1,0,0,0.09,0.06,0,1,0,0,1,0,0
299,6,2,6,37,52,77,5,20,25,31,0,0,0,0,0.02,0,1,0,0,1,0,1
301,5,2,0,26,46,61,2,7,26,32,3,0,0,0,0,0,1,0,1,1,0,0
302,9,2,0,0,0,0,0,0,1,2,0,0,0,0.46,0.35,0,0,0,0,1,0,0
304,15,2,0,32,76,116,12,58,82,148,6,0,0,0.45,0.57,0,0,0,0,1,0,1
307,23,2,0,0,0,0,0,2,2,3,0,0,0,0.83,0.69,0,0,0,0,1,0,0
309,25,4,0,0,0,0,0,0,0,0,0,0,0,0.73,0.78,0,0,0,0,1,0,0
310,10,8,0,0,0,0,0,0,0,0,1,0,0,0.75,0.7,0,0,0,0,1,0,0
311,1,9,0,0,0,1,1,1,2,2,0,0,0,0.87,0.72,0,0,0,0,1,0,1
312,17,8,0,10,10,10,2,9,19,26,0,0,0,0.85,0.89,0,0,0,1,1,0,0
317,0,12,0,0,0,0,0,0,0,0,0,0,0,0.73,0.79,0,0,0,0,1,0,0
318,1,12,0,40,40,46,3,18,38,58,0,0,0,0.73,0.76,0,0,0,1,1,0,1
320,21,2,0,0,0,0,0,0,0,0,1,0,0,0.81,0.85,0,1,0,0,1,0,0
321,894,2,0,0,0,0,18,41,65,126,8,0,0,0.99,0.98,0,0,0,1,1,0,0
322,30,4,0,10,20,30,51,121,361,401,0,0,0,0.77,0.8,0,0,0,0,1,0,0
323,0,8,0,0,0,0,0,0,0,0,0,0,0,0.98,0.99,0,0,0,0,1,0,0
326,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0.97,0,0,0,1,1,0,0
328,17,9,0,0,0,0,1,3,5,7,47,0,0,0.91,0.74,0,1,0,0,1,0,0
329,6,14,4,0,0,0,0,1,6,10,0,0,0,0.89,0.9,0,0,0,0,1,0,0
330,2,12,0,0,0,0,0,0,0,0,0,0,0,0.57,0.68,0,1,0,1,1,0,0
331,13,12,4,0,0,0,0,0,0,0,1,0,0,0.58,0.58,0,1,0,0,1,0,0
332,4,12,0,0,0,0,0,0,0,0,1,0,0,0.78,0.78,0,0,0,0,1,0,0
333,1218,8,467,2424,5280,7248,415,1610,3732,6700,460,0,0,0.87,0.71,0,0,0,1,1,0,0
334,19,2,0,42,63,63,7,8,14,14,4,0,0,0.23,0.23,0,1,0,0,1,0,1
335,4,8,0,0,1,3,0,1,2,7,0,0,0,0.82,0.75,0,0,0,0,1,0,0
337,31,9,0,0,0,0,0,0,2,2,1,0,0,0.54,0.47,0,0,0,1,1,0,0
338,2,10,0,0,0,0,0,0,2,2,0,0,0,0.89,0.9,0,0,0,0,1,0,1
339,452,12,1,0,0,0,4,16,31,55,2,0,0,0.93,0.89,0,0,0,1,1,0,0
340,0,12,0,4,7,7,0,0,0,0,0,0,0,0.63,0.72,0,0,0,0,1,0,1
342,3,2,4,0,0,0,2,6,6,6,0,0,0,0.54,0.56,0,1,0,0,1,0,1
343,0,2,0,35,35,35,0,0,0,0,0,0,0,0.2,0.11,0,1,0,0,1,0,0
345,48,12,0,0,0,0,43,49,51,120,0,0,0,0.63,0.72,0,0,0,0,1,0,1
346,16,9,0,5,11,17,3,7,14,22,0,0,0,0.85,0.82,0,0,0,0,1,0,0
348,1,12,0,0,0,0,0,0,0,0,0,0,0,0.63,0.72,0,0,0,0,1,0,0
349,174,8,3,0,166,249,33,100,219,368,43,0,0,0.94,0.9,0,0,0,0,1,0,0
350,0,8,0,8,13,18,3,5,9,15,0,0,0,0.9,0.94,0,0,0,0,1,0,1
352,17,12,0,0,0,0,0,0,0,0,1,0,0,0.74,0.74,0,0,0,0,1,0,0
354,22,8,6,0,10,25,12,23,50,73,11,0,0,0.99,0.93,0,0,0,0,1,0,0
355,6,8,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0,0,0,1,0,0
357,46,8,0,0,0,0,1,6,9,16,3,0,0,0.98,0.98,0,0,0,0,1,0,0
359,1,9,0,0,0,0,0,0,0,0,1,0,0,0.99,0.98,0,0,0,0,1,0,0
360,101,12,0,0,0,0,0,0,2,6,2,0,0,1,0.96,0,0,0,0,1,0,0
362,5,8,18,18,18,54,3,16,26,39,0,0,0,0.98,0.99,0,0,0,0,1,0,0
363,5,8,0,0,8,18,3,11,30,43,2,0,0,0.98,0.99,0,0,0,0,1,0,0
364,7,3,0,0,0,0,0,0,0,0,0,0,0,0.93,0.89,0,0,0,0,1,0,0
366,3,2,0,3,5,9,0,0,1,1,0,0,0,0.15,0.09,0,0,0,0,1,0,0
367,6,12,0,7,13,25,1,4,11,18,0,0,0,0.57,0.68,0,0,0,0,1,0,0
368,20,4,0,10,30,30,0,10,10,20,0,0,0,0.73,0.78,0,0,0,0,1,0,0
370,10,8,0,0,0,0,0,0,0,0,0,0,0,0.99,0.94,0,0,0,0,1,0,0
372,2,8,0,1,2,3,1,1,2,2,1,0,0,0.94,0.79,0,0,0,0,1,0,0
373,7,4,0,0,0,0,0,0,0,0,0,0,0,0.73,0.78,0,0,0,0,1,0,0
375,4,9,0,0,0,0,15,15,16,16,0,0,0,0.85,0.83,0,0,0,0,1,0,1
378,13,4,0,0,0,0,0,0,1,1,0,0,0,0.73,0.78,0,0,0,0,1,0,0
379,0,8,0,30,30,60,4,15,26,53,0,0,0,0.9,0.94,0,0,0,0,1,0,1
380,13,8,0,0,0,0,1,1,5,13,5,0,0,0.88,0.89,0,0,0,0,1,0,0
381,232,8,145,584,1502,2258,548,1558,3080,4351,126,0,0,0.31,0.41,0,0,0,1,1,0,1
383,15,8,0,0,0,0,0,0,0,0,1,0,0,0.84,0.82,0,0,0,0,1,0,0
384,8,8,0,0,0,0,0,0,0,0,0,0,0,0.9,0.88,0,0,0,0,1,0,0
385,3,8,0,0,0,0,0,0,1,1,0,0,0,0.82,0.81,0,0,0,0,1,0,0
386,1,8,0,3,3,5,0,0,4,5,0,0,0,0.82,0.81,0,0,0,0,1,0,0
387,324,8,139,120,360,480,91,237,490,637,77,0,0,0.99,0.99,0,0,0,0,1,0,0
388,198,12,0,0,0,0,0,0,0,0,0,0,0,0.94,0.87,0,0,0,1,1,0,0
389,784,10,0,0,0,0,0,0,8,16,1,0,0,0.92,0.92,0,0,0,0,0,0,0
390,0,5,0,19,30,30,0,0,0,0,0,0,0,0.65,0.71,0,1,0,1,1,0,0
391,197,8,0,0,0,0,217,226,234,247,0,0,0,0.91,0.95,0,0,0,0,1,0,0
392,27,2,0,0,0,0,0,0,1,3,1,0,0,1,0.91,0,0,0,0,1,0,0
393,160,2,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,0,0,0,1,0,0
394,2370,8,0,0,0,0,0,0,0,0,163,0,0,0.93,0.8,0,0,0,0,1,0,0
397,6,2,0,4,8,14,7,12,30,37,0,0,0,0.99,0.98,0,0,0,0,1,0,0
398,1,2,0,2,3,4,1,1,3,3,0,0,0,1,1,0,0,0,0,1,0,0
399,4,8,0,0,0,0,0,0,0,0,1,0,0,0.82,0.92,0,0,0,0,1,0,0
400,15,8,0,0,0,0,0,0,0,0,2,0,0,0.99,0.96,0,0,0,0,1,0,0
402,2,12,0,0,0,0,0,0,0,0,1,0,0,0.93,0.93,0,0,0,0,1,0,0
